,Date,Price,Open,High,Low,Vol,Change%
0,07/31/2000,101.55,101.55,101.55,101.55,0.01K,1.55%
1,08/02/2000,103.38,103.38,103.38,103.38,,1.80%
2,08/04/2000,105.20,105.20,105.20,105.20,0.00K,1.76%
3,08/07/2000,106.92,106.92,106.92,106.92,0.01K,1.63%
4,08/09/2000,108.64,108.64,108.64,108.64,0.02K,1.61%
5,08/11/2000,110.36,110.36,110.36,110.36,0.01K,1.58%
6,08/14/2000,112.08,112.08,112.08,112.08,0.01K,1.56%
7,08/16/2000,113.80,113.80,113.80,113.80,0.02K,1.53%
8,08/18/2000,115.52,115.52,115.52,115.52,0.01K,1.51%
9,08/21/2000,117.24,117.24,117.24,117.24,0.04K,1.49%
10,08/23/2000,118.96,118.96,118.96,118.96,0.11K,1.47%
11,08/25/2000,118.84,118.84,118.84,118.84,0.10K,-0.10%
12,08/28/2000,117.00,117.00,117.00,117.00,0.10K,-1.55%
13,08/30/2000,115.15,115.15,115.15,115.15,0.13K,-1.58%
14,09/01/2000,113.37,113.37,113.37,113.37,0.10K,-1.55%
15,09/06/2000,112.51,112.51,112.51,112.51,0.06K,-0.76%
16,09/08/2000,112.39,112.39,112.39,112.39,0.05K,-0.11%
17,09/11/2000,114.11,114.11,114.11,114.11,0.03K,1.53%
18,09/13/2000,116.08,116.08,116.08,116.08,0.02K,1.73%
19,09/15/2000,118.04,118.04,118.04,118.04,0.05K,1.69%
20,09/18/2000,118.19,118.19,118.19,118.19,0.07K,0.13%
21,09/20/2000,118.21,118.21,118.21,118.21,0.04K,0.02%
22,09/22/2000,118.76,118.76,118.76,118.76,0.07K,0.47%
23,09/25/2000,118.98,118.98,118.98,118.98,0.06K,0.19%
24,09/27/2000,119.69,119.69,119.69,119.69,0.06K,0.60%
25,09/29/2000,120.71,120.71,120.71,120.71,0.05K,0.85%
26,10/02/2000,120.92,120.92,120.92,120.92,0.05K,0.17%
27,10/04/2000,121.14,121.14,121.14,121.14,0.06K,0.18%
28,10/06/2000,122.21,122.21,122.21,122.21,0.04K,0.88%
29,10/09/2000,124.33,124.33,124.33,124.33,0.03K,1.73%
30,10/11/2000,126.45,126.45,126.45,126.45,0.05K,1.71%
31,10/13/2000,128.57,128.57,128.57,128.57,0.05K,1.68%
32,10/16/2000,130.71,130.71,130.71,130.71,0.03K,1.66%
33,10/18/2000,132.85,132.85,132.85,132.85,0.03K,1.64%
34,10/20/2000,135.04,135.04,135.04,135.04,0.07K,1.65%
35,10/23/2000,136.55,136.55,136.55,136.55,0.04K,1.12%
36,10/25/2000,137.08,137.08,137.08,137.08,0.05K,0.39%
37,10/27/2000,139.57,139.57,139.57,139.57,0.09K,1.82%
38,10/30/2000,140.84,140.84,140.84,140.84,0.10K,0.91%
39,11/01/2000,143.33,143.33,143.33,143.33,0.10K,1.77%
40,11/03/2000,145.83,145.83,145.83,145.83,0.08K,1.74%
41,11/06/2000,148.57,148.57,148.57,148.57,0.06K,1.88%
42,11/08/2000,151.32,151.32,151.32,151.32,0.03K,1.85%
43,11/10/2000,154.08,154.08,154.08,154.08,0.06K,1.82%
44,11/13/2000,156.84,156.84,156.84,156.84,0.02K,1.79%
45,11/15/2000,159.60,159.60,159.60,159.60,0.01K,1.76%
46,11/17/2000,162.36,162.36,162.36,162.36,0.04K,1.73%
47,11/20/2000,165.70,165.70,165.70,165.70,0.06K,2.06%
48,11/22/2000,165.52,165.52,165.52,165.52,0.14K,-0.11%
49,11/24/2000,166.17,166.17,166.17,166.17,0.12K,0.39%
50,11/27/2000,165.60,165.60,165.60,165.60,0.09K,-0.34%
51,11/29/2000,168.73,168.73,168.73,168.73,0.08K,1.89%
52,12/01/2000,171.87,171.87,171.87,171.87,0.04K,1.86%
53,12/04/2000,175.00,175.00,175.00,175.00,0.03K,1.82%
54,12/06/2000,178.13,178.13,178.13,178.13,0.06K,1.79%
55,12/08/2000,181.26,181.26,181.26,181.26,0.19K,1.76%
56,12/11/2000,189.94,189.94,189.94,189.94,0.13K,4.79%
57,12/13/2000,184.48,184.48,184.48,184.48,0.11K,-2.87%
58,12/15/2000,187.62,187.62,187.62,187.62,0.05K,1.70%
59,12/18/2000,191.11,191.11,191.11,191.11,0.08K,1.86%
60,12/20/2000,194.85,194.85,194.85,194.85,0.04K,1.96%
61,12/22/2000,198.58,198.58,198.58,198.58,0.06K,1.91%
62,12/25/2000,202.32,202.32,202.32,202.32,0.02K,1.88%
63,12/27/2000,203.09,203.09,203.09,203.09,0.04K,0.38%
64,12/29/2000,206.83,206.83,206.83,206.83,0.06K,1.84%
65,01/03/2001,210.56,210.56,210.56,210.56,0.04K,1.80%
66,01/05/2001,214.32,214.32,214.32,214.32,0.05K,1.79%
67,01/08/2001,218.12,218.12,218.12,218.12,0.07K,1.77%
68,01/10/2001,222.15,222.15,222.15,222.15,0.18K,1.85%
69,01/12/2001,225.67,225.67,225.67,225.67,0.22K,1.58%
70,01/15/2001,228.35,228.35,228.35,228.35,0.12K,1.19%
71,01/17/2001,232.68,232.68,232.68,232.68,0.09K,1.90%
72,01/19/2001,236.97,236.97,236.97,236.97,0.04K,1.84%
73,01/29/2001,241.36,241.36,241.36,241.36,0.01K,1.85%
74,01/31/2001,245.80,245.80,245.80,245.80,0.01K,1.84%
75,02/02/2001,250.23,250.23,250.23,250.23,0.03K,1.80%
76,02/05/2001,254.96,254.96,254.96,254.96,0.00K,1.89%
77,02/07/2001,259.93,259.93,259.93,259.93,0.01K,1.95%
78,02/09/2001,260.15,260.15,260.15,260.15,0.32K,0.08%
79,02/12/2001,256.18,256.18,256.18,256.18,0.13K,-1.53%
80,02/14/2001,252.21,252.21,252.21,252.21,0.08K,-1.55%
81,02/16/2001,248.98,248.98,248.98,248.98,0.04K,-1.28%
82,02/19/2001,245.99,245.99,245.99,245.99,0.04K,-1.20%
83,02/21/2001,246.75,246.75,246.75,246.75,0.24K,0.31%
84,02/23/2001,251.22,251.22,251.22,251.22,0.16K,1.81%
85,02/26/2001,255.61,255.61,255.61,255.61,0.10K,1.75%
86,02/28/2001,252.40,252.40,252.40,252.40,0.29K,-1.26%
87,03/02/2001,253.64,253.64,253.64,253.64,0.21K,0.49%
88,03/05/2001,250.73,250.73,250.73,250.73,0.17K,-1.15%
89,03/07/2001,248.05,248.05,248.05,248.05,0.20K,-1.07%
90,03/09/2001,252.61,252.61,252.61,252.61,0.12K,1.84%
91,03/12/2001,255.99,255.99,255.99,255.99,0.12K,1.34%
92,03/14/2001,257.70,257.70,257.70,257.70,0.14K,0.67%
93,03/16/2001,258.52,258.52,258.52,258.52,0.10K,0.32%
94,03/19/2001,260.29,260.29,260.29,260.29,0.18K,0.68%
95,03/21/2001,261.11,261.11,261.11,261.11,0.08K,0.32%
96,03/23/2001,259.60,259.60,259.60,259.60,0.14K,-0.58%
97,03/26/2001,260.11,260.11,260.11,260.11,0.08K,0.20%
98,03/28/2001,264.70,264.70,264.70,264.70,0.09K,1.76%
99,03/30/2001,269.30,269.30,269.30,269.30,0.04K,1.74%
100,04/02/2001,274.43,274.43,274.43,274.43,0.14K,1.90%
101,04/04/2001,279.56,279.56,279.56,279.56,0.06K,1.87%
102,04/06/2001,284.69,284.69,284.69,284.69,0.03K,1.84%
103,04/09/2001,289.82,289.82,289.82,289.82,0.15K,1.80%
104,04/11/2001,295.09,295.09,295.09,295.09,0.10K,1.82%
105,04/13/2001,300.36,300.36,300.36,300.36,0.07K,1.79%
106,04/16/2001,306.16,306.16,306.16,306.16,0.04K,1.93%
107,04/18/2001,311.96,311.96,311.96,311.96,0.06K,1.89%
108,04/20/2001,317.76,317.76,317.76,317.76,0.12K,1.86%
109,04/23/2001,313.74,313.74,313.74,313.74,0.32K,-1.27%
110,04/25/2001,315.27,315.27,315.27,315.27,0.42K,0.49%
111,04/27/2001,321.07,321.07,321.07,321.07,0.05K,1.84%
112,05/02/2001,327.13,327.13,327.13,327.13,0.04K,1.89%
